there	EX
somedate	C
,	C
max	C
(	C
somevalue	C
)	C
as	C
somevalue	C
from	C
sometable	C
group	C
by	C
somedate	C
)	C
s	C
on	C
c	C
.	C
date	C
=	C
s	C
.	C
somedate	C
left	C
join	C
someothertable	C
o	C
on	C
c	C
.	C
criteria	C
=	C
o	C
.	C
someothercriteria	C
this	DT
allows	VBZ
database	NN
optimizers	NNS
to	TO
shuffle	VB
the	DT
data	NNS
together	RB
,	,
rather	RB
than	IN
requery	NN
on	IN
each	DT
record	NN
from	IN
the	DT
main	JJ
table	NN
and	CC
i	PRP
usually	RB
find	VBP
when	WRB
i	PRP
have	VBP
to	TO
fix	VB
code	NN
where	WRB
this	DT
problem	NN
has	VBZ
been	VBN
created	VBN
,	,
i	PRP
usually	RB
end	VB
up	RP
increasing	VBG
the	DT
speed	NN
of	IN
queries	NNS
by	IN
100	CD
%	SYM
or	CC
more	JJR
while	IN
simultaneously	RB
reducing	VBG
cpu	NN
and	CC
memory	NN
usage	NN
.	.
your	PRP$
production	NN
system	NN
should	MD
be	VB
fine	RB
as	IN
the	DT
hotfix	NN
delivers	VBZ
a	DT
config	NN
file	NN
(	-LRB-
system	NN
.	:
web	NN
.	:
mvc	NN
.	NN
dll	NN
.	C
config	C
)	C
into	IN
the	DT
following	JJ
folder	NN
:	:
%	SYM
systemroot	C
%	C
\	C
assembly	C
\	C
gac_msil	C
\	C
policy	C
.	C
3.0	C
.	C
system	C
.	C
web	JC
.	JC
mvc	JC
\	JC
3.0.0.1__31bf38	JC
56ad364e35	JC
the	JC
config	JC
file	NN
contains	VBZ
an	DT
assembly	NN
redirect	NN
to	TO
the	DT
new	JJ
version	NN
,	,
this	DT
will	MD
override	VB
anything	NN
you	PRP
have	VBP
in	IN
your	PRP$
web	NN
.	NN
config	NN
:	:
<	SYM
?	C
xml	C
version	C
=	C
"1.0"?><!--http://msdn.microsoft.com/en-us/library/7wd6ex19.aspx#bkmk_redirectingassemblyversionsbyusingpublisherpolicy-->	C
<	C
configuration	C
>	C
<	C
runtime	C
>	C
<	C
assemblybinding	C
xmlns	C
=	C
"	C
urn	C
:	C
schemas-microsoft-com:asm.v1"	C
>	C
<	C
dependentassembly	C
>	C
<	C
assemblyidentity	C
name	C
=	C
"system.web.mvc	C
"	C
publickeytoken	C
=	C
"31bf3856ad364e35"culture="neutral"	C
/	C
>	C
<	C
bindingredirect	C
oldversion	C
=	C
"3.0.0.0-3.0.0.1	C
"	C
newversion	C
=	C
"3.0.0.1"	C
/	C
>	C
<	C
/	C
dependentassembly	C
>	C
<	C
/	C
assemblybinding	C
>	C
<	C
/	C
runtime	C
>	C
<	C
/	C
configuration	C
>	C
follow	IN
the	DT
advice	NN
by	IN
@	USR
guffa	NN
for	IN
your	PRP$
build	VB
system	NN
,	,
or	CC
use	VB
nuget	NN
to	TO
update	VB
.	.
i	PRP
believe	VBP
the	DT
solution	NN
which	WDT
works	VBZ
depends	VBZ
on	IN
how	WRB
you	PRP
deliver	VBP
the	DT
mvc	NN
binaries	NNS
to	TO
your	PRP$
system	NN
(	-LRB-
either	CC
bin	NN
deploy	NN
or	CC
gac	NN
)	-RRB-
.	.
@	USR
julian	USR
as	IN
it	PRP
's	VBZ
the	DT
gac	NN
you	PRP
might	MD
have	VB
to	TO
traverse	VB
the	DT
directory	NN
using	VBG
an	DT
elevated	JJ
command	NN
prompt	NN
.	.
also	RB
i	PRP
believe	VBP
this	DT
only	RB
applies	VBZ
if	IN
you	PRP
installed	VBD
mvc	NN
,	,
if	IN
you	PRP
nuget	NN
(	-LRB-
bin	NN
deploy	NN
)	-RRB-
mvc	NN
this	DT
may	MD
not	RB
be	VB
present	VBN
on	IN
your	PRP$
system	NN
.	.
to	TO
be	VB
more	RBR
precise	JJ
,	,
a	DT
dictionary	NN
attack	NN
,	,
i.e	FW
.	:
an	DT
attack	NN
where	WRB
all	DT
words	NNS
in	IN
an	DT
exhaustive	JJ
list	NN
are	VBP
tried	VBN
,	,
gets	VBZ
not	RB
"	``
impossible	JJ
"	''
,	,
but	CC
it	PRP
gets	VBZ
impractical	JJ
:	:
each	DT
bit	NN
of	IN
salt	NN
doubles	NNS
the	DT
amount	NN
of	IN
storage	NN
and	CC
computation	NN
required	VBN
.	.
of	IN
course	NN
,	,
this	DT
is	VBZ
only	RB
true	JJ
if	IN
the	DT
salt	NN
is	VBZ
not	RB
known	VBN
to	TO
the	DT
attacker	NN
.	.
this	DT
is	VBZ
different	JJ
from	IN
pre-computed	VBN
dictionary	NN
attacks	NNS
like	IN
attacks	NNS
involving	VBG
rainbow	NN
tables	NNS
where	WRB
it	PRP
does	VBZ
not	RB
matter	VB
whether	IN
the	DT
salt	NN
is	VBZ
secret	JJ
or	CC
not	RB
.	.
example	NN
:	:
with	IN
a	DT
64-bit	JJ
salt	NN
(	-LRB-
i.e.8	FW
bytes	NNS
)	-RRB-
you	PRP
need	VBP
to	TO
check	VB
264	CD
additional	JJ
password	NN
combinations	NNS
in	IN
your	PRP$
dictionary	NN
attack	NN
.	.
with	IN
a	DT
dictionary	NN
containing	VBG
200	CD
,	,
000	CD
words	NNS
you	PRP
will	MD
have	VB
to	TO
make	VB
200	CD
,	,
000	CD
*	SYM
264	CD
=	SYM
3.69	CD
*	SYM
1024	CD
tests	NNS
in	IN
the	DT
worst	JJS
case	NN
-	--
instead	RB
of	IN
200	CD
,	,
000	CD
tests	NNS
without	IN
salt	NN
.	.
an	DT
additional	JJ
benefit	NN
of	IN
using	VBG
salt	NN
is	VBZ
that	IN
an	DT
attacker	NN
can	MD
not	RB
pre-	--
compute	VB
the	DT
password	NN
hashes	NNS
from	IN
his	PRP$
dictionary	NN
.	.
it	PRP
would	MD
simply	RB
take	VB
too	RB
much	JJ
time	NN
and	CC
/	CC
or	CC
space	NN
.	.
update	VB
your	PRP$
update	NN
assumes	VBZ
that	IN
an	DT
attacker	NN
already	RB
knows	VBZ
the	DT
salt	NN
(	-LRB-
or	CC
has	VBZ
stolen	VBN
it	PRP
)	-RRB-
.	.
this	DT
is	VBZ
of	IN
course	NN
a	DT
different	JJ
situation	NN
.	.
still	RB
it	PRP
is	VBZ
not	RB
possible	JJ
for	IN
the	DT
attacker	NN
to	TO
use	VB
a	DT
pre-computed	JJ
rainbow	NN
table	NN
.	.
what	WP
matters	VBZ
here	RB
a	DT
lot	NN
is	VBZ
the	DT
speed	NN
of	IN
the	DT
hashing	NN
function	NN
.	.
to	TO
make	VB
an	DT
attack	NN
impractical	JJ
,	,
the	DT
hashing	NN
function	NN
needs	VBZ
to	TO
be	VB
slow	JJ
.	.
md5	NNP
or	CC
sha	NNP
are	VBP
not	RB
good	JJ
candidates	NNS
here	RB
because	IN
they	PRP
are	VBP
designed	VBN
to	TO
be	VB
fast	JJ
,	,
better	RBR
candidates	NNS
for	IN
hashing	NN
algorithms	NNS
are	VBP
blowfish	NNP
or	CC
some	DT
variations	NNS
of	IN
it	PRP
.	.
update	VB
2	CD
a	DT
good	JJ
read	NN
on	IN
the	DT
matter	NN
of	IN
securing	VBG
your	PRP$
password	NN
hashes	NNS
in	IN
general	JJ
(	-LRB-
going	VBG
much	RB
beyond	IN
the	DT
original	JJ
question	NN
but	CC
still	RB
interesting	JJ
)	-RRB-
:	:
enough	RB
with	IN
the	DT
rainbow	NN
tables	NNS
:	.
what	WP
you	PRP
need	VBD
to	TO
know	VB
about	IN
secure	NN
password	NN
schemes	NNP
corollary	NN
of	IN
the	DT
article	NN
:	.
use	VB
salted	VBN
hashes	NNS
created	VBN
with	IN
bcrypt	NN
(	-LRB-
based	VBN
on	IN
blowfish	NNP
)	-RRB-
or	CC
eksblowfish	NNP
that	WDT
allows	VBZ
you	PRP
to	TO
use	VB
a	DT
configurable	JJ
setup	NN
time	NN
to	TO
make	VB
hashing	NN
slow	JJ
.	.
downvoter	F
,	,
could	MD
you	PRP
explain	VB
?	.
especially	RB
if	IN
there	EX
is	VBZ
something	NN
incorrect	JJ
it	PRP
would	MD
be	VB
good	JJ
to	TO
know	VB
.	.
@michael	USR
borgwart	USR
:	.
you	PRP
probably	RB
misread	VBD
my	PRP$
answer	NN
.	.
i	PRP
was	VBD
referring	VBG
to	TO
the	DT
fact	NN
that	IN
the	DT
computational	JJ
amount	NN
for	IN
checking	VBG
the	DT
items	NNS
in	IN
your	PRP$
word	NN
list	NN
is	VBZ
actually	RB
increased	VBN
if	IN
the	DT
salt	NN
is	VBZ
unknown	JJ
to	TO
the	DT
attacker	NN
,	,
namely	RB
doubled	VBN
for	IN
each	DT
bit	NN
of	IN
salt	NN
.	.
and	CC
you	PRP
want	VBP
the	DT
computation	NN
to	TO
be	VB
expensive	JJ
.	.
@michael	USR
borgwardt	USR
:	:
i	PRP
agree	VBP
,	,
@	SYM
erickson	NN
refers	VBZ
to	TO
pre-computed	VBN
dictionary	NN
attacks	NNS
.	.
@nikhil	USR
:	:
stored	JJ
procedures	NNS
themselves	PRP
do	VBP
little	JJ
to	TO
protect	VB
against	IN
sql	NNP
injection	NN
.	.
unless	IN
you	PRP
use	VBP
parametrized	JJ
queries	NNS
to	TO
run	VB
the	DT
stored	JJ
procedure	NN
,	,
an	DT
attacker	NN
can	MD
still	RB
inject	VB
malicious	JJ
sql	NNP
into	IN
a	DT
query	NN
.	.
the	DT
only	JJ
real	JJ
benefit	NN
that	IN
you	PRP
've	VBP
cited	VBN
is	VBZ
that	IN
it	PRP
hides	VBZ
the	DT
database	NN
structure	NN
,	,
but	CC
that	DT
does	VBZ
n't	RB
mean	VB
that	IN
attacks	NNS
are	VBP
very	RB
much	RB
more	RBR
difficult	JJ
.	.
the	DT
rest	NN
of	IN
the	DT
benefits	NNS
you	PRP
claim	VBP
are	VBP
just	RB
so	RB
much	RB
nonsense	VB
.	.
@nikhil	USR
:	:
then	RB
i	PRP
apologize	VBP
for	IN
not	RB
being	VBG
clearer	JJR
:	.
stored	JJ
procedures	NNS
are	VBP
still	RB
vulnerable	JJ
to	TO
the	DT
same	JJ
kinds	NNS
of	IN
injection	NN
by	IN
a	DT
knowledgable	JJ
attacker	NN
that	IN
a	DT
plain	JJ
query	NN
is	VBZ
.	.
types	NNS
be	VB
damned	RB
if	IN
you	PRP
're	VBP
concatenating	VBG
strings	NNS
to	TO
make	VB
the	DT
query	NN
.	.
the	DT
only	JJ
sure	JJ
protection	NN
is	VBZ
a	DT
parametrized	JJ
call	NN
to	TO
the	DT
sp	NN
(	-LRB-
by	IN
which	WDT
it	PRP
is	VBZ
technically	RB
infeasible	JJ
to	TO
inject	VB
sql	NNP
)	-RRB-
,	,
negating	VBG
the	DT
whole	JJ
argument	NN
completely	RB
.	.
i	PRP
contend	VBP
that	IN
it	PRP
is	VBZ
still	RB
possible	JJ
for	IN
an	DT
attacker	NN
to	TO
pass	VB
dummy	JJ
arguments	NNS
to	TO
the	DT
sp	NN
if	IN
you	PRP
do	VBP
n't	RB
use	VB
a	DT
parametrized	JJ
call	NN
,	,
and	CC
in	IN
doing	VBG
so	RB
gain	VB
an	DT
injection	NN
vector	NN
.	.
sps	NNS
themselves	PRP
do	VBP
not	RB
protect	VB
you	PRP
.	.
@nikhil	USR
:	:
when	WRB
you	PRP
use	VBP
prepared	JJ
queries	NNS
from	IN
,	,
e.g.	FW
,	,
php	NNP
,	,
you	PRP
often	RB
have	VBP
the	DT
opportunity	NN
to	TO
pass	VB
parameters	NNS
to	TO
the	DT
prepared	JJ
query	NN
when	WRB
you	PRP
execute	VBP
it	PRP
.	.
for	IN
example	NN
,	,
call	VB
mysqli_prepare	C
(	C
$	C
query	C
)	C
where	WRB
$	C
query	NN
contains	VBZ
one	CD
or	CC
more	JJR
?	``
in	IN
place	NN
of	IN
parameters	NNS
,	,
then	RB
call	NN
mysqli	C
_	C
execute	C
(	C
)	C
with	IN
an	DT
array	NN
containing	VBG
the	DT
values	NNS
and	CC
variables	NNS
to	TO
be	VB
passed	VBN
to	TO
the	DT
query	NN
.	.
because	IN
the	DT
query	NN
is	VBZ
compiled	VBN
by	IN
the	DT
db	NN
driver	NN
,	,
and	CC
the	DT
driver	NN
reads	VBZ
the	DT
data	NNS
directly	RB
from	IN
the	DT
passed	VBN
values	NNS
,	,
there	EX
's	VBZ
never	RB
any	DT
opportunity	NN
for	IN
an	DT
sql	NNP
injection	NN
to	TO
take	VB
place	NN
.	.
this	DT
assumes	VBZ
that	IN
no	DT
portion	NN
of	IN
$	C
query	C
comes	VBZ
from	IN
users	NNS
.	.
@nikhil	USR
:	:
to	TO
be	VB
clear	JJ
,	,
i	PRP
have	VBP
not	RB
once	RB
been	VBN
talking	VBG
about	IN
what	WP
goes	VBZ
on	IN
inside	IN
the	DT
sp	NN
,	,
as	IN
it	PRP
's	VBZ
quite	RB
irrelevant	JJ
to	TO
sql	NNP
injection	NN
concerns	NNS
(	-LRB-
unless	IN
,	,
as	IN
you	PRP
point	VBP
out	RP
,	,
it	PRP
builds	VBZ
a	DT
dynamic	JJ
query	NN
from	IN
input	NN
)	-RRB-
.	.
i	PRP
've	VBP
only	RB
been	VBN
speaking	VBG
off	IN
the	DT
call	NN
site	NN
,	,
where	WRB
the	DT
query	NN
is	VBZ
initiated	VBN
from	IN
php.@nikhil	USR
:	:
yes	UH
,	,
that	DT
's	VBZ
what	WP
i	PRP
was	VBD
trying	VBG
to	TO
say	VB
:	.
that	IN
the	DT
sp	NN
should	MD
be	VB
called	VBN
with	IN
a	DT
prepared	JJ
query	NN
.	.
but	CC
your	PRP$
point	NN
about	IN
disabling	VBG
access	NN
is	VBZ
a	DT
complete	JJ
non-issue	NN
as	RB
far	RB
as	IN
prepared	JJ
statements	NNS
are	VBP
concerned	VBN
.	.
again	RB
,	,
it	PRP
is	VBZ
impossible	JJ
to	TO
inject	VB
sql	NNP
into	IN
a	DT
parametric	JJ
query	NN
,	,
completely	RB
obviating	VBG
the	DT
need	NN
to	TO
set	VB
up	RP
distinct	JJ
permissions	NNS
.	.
parametric	JJ
queries	NNS
eliminate	VBP
concerns	NNS
about	IN
injection	NN
;	:
it	PRP
's	VBZ
not	RB
merely	RB
protection	NN
.	.
i	PRP
fixed	VBD
this	DT
by	IN
:	:
removing	VBG
the	DT
mvc	NN
reference	NN
and	CC
add	VB
the	DT
correct	JJ
reference	NN
to	TO
the	DT
project	NN
.	.
changing	VBG
the	DT
copy	NN
local	JJ
property	NN
of	IN
the	DT
reference	NN
to	TO
true	JJ
.	.
update	VB
the	DT
bindingredirect	JJ
setting	VBG
in	IN
web	NN
.	C
config	C
:	C
web	C
.	C
config	C
runtime	C
section	NN
:	:
<	C
runtime	C
>	C
<	C
assemblybinding	C
xmlns	C
=	C
"	C
urn	C
:	C
schemas-microsoft-com:asm.v1"	C
>	C
<	C
dependentassembly	C
>	C
<	C
assemblyidentity	C
name	C
=	C
"system.web.mvc	C
"	C
publickeytoken	C
=	C
"31bf3856ad364e35"	C
/	C
>	C
<	C
bindingredirect	C
oldversion	C
=	C
"1.0.0.0-3.0.0.0	C
"	C
newversion	C
=	C
"3.0.0.1"	C
/	C
>	C
<	C
/	C
dependentassembly	C
>	C
...	F
changing	VBG
the	DT
copy	NN
local	NN
setting	NN
will	MD
include	VB
the	DT
system	NN
.	C
web	C
.	C
mvc	C
.	C
dll	C
file	C
in	IN
the	DT
bin	C
folder	NN
when	WRB
you	PRP
publish	VBP
the	DT
project	NN
,	,
so	IN
that	IN
it	PRP
works	VBZ
even	RB
if	IN
the	DT
server	NN
is	VBZ
not	RB
updated	VBN
with	IN
the	DT
new	JJ
version	NN
.	.
note	VB
that	IN
updates	NNS
like	IN
this	DT
rarely	RB
happens	VBZ
.	.
this	DT
is	VBZ
the	DT
first	JJ
time	NN
that	IN
mvc	NN
3	CD
has	VBZ
been	VBN
patched	VBN
since	IN
it	PRP
was	VBD
released	VBN
.	.
you	PRP
should	MD
be	VB
able	JJ
to	TO
change	VB
copy	NN
local	NN
back	RB
to	TO
false	VB
once	IN
the	DT
servers	NNS
has	VBZ
been	VBN
updated	VBN
.	.
the	DT
next	JJ
time	NN
microsoft	NNP
makes	VBZ
an	DT
update	NN
like	IN
this	DT
,	,
they	PRP
will	MD
probably	RB
know	VB
to	TO
fix	VB
issues	NNS
like	IN
this	DT
first	JJ
.	.
@ericbrown	USR
-	:
cal	NN
:	.
do	VBP
you	PRP
mean	VB
the	DT
server	NN
version	NN
update	NN
?	.
on	IN
my	PRP$
computer	NN
it	PRP
shows	VBZ
up	RP
as	IN
an	DT
installed	VBN
update	NN
.	.
@ericbrown-cal	USR
:	:
yes	UH
,	,
that	DT
list	NN
does	VBZ
n't	RB
show	VB
all	DT
updates	NNS
for	IN
some	DT
reason	NN
.	.
if	IN
i	PRP
open	VBP
pc	NN
settings	NNS
,	,
go	VBP
to	TO
update	VB
and	CC
recovery	NN
,	,
and	CC
click	VBP
view	NN
your	PRP$
update	NN
history	NN
,	,
it	PRP
shows	VBZ
all	DT
updates	NNS
.	.
since	IN
0	CD
is	VBZ
exactly	RB
representable	JJ
as	IN
an	DT
ieee754	NNP
floating	NN
-	:
point	NN
number	NN
(	-LRB-
or	CC
using	VBG
any	DT
other	JJ
implementation	NN
of	IN
f-p	JJ
numbers	NNS
i	PRP
've	VBP
ever	RB
worked	VBN
with	IN
)	-RRB-
comparison	NN
with	IN
0	CD
is	VBZ
probably	RB
safe	JJ
.	.
you	PRP
might	MD
get	VB
bitten	VBN
,	,
however	RB
,	,
if	IN
your	PRP$
program	NN
computes	VBZ
a	DT
value	NN
(	-LRB-
such	JJ
as	IN
theview	C
.	C
frame	C
.	C
origin	C
.	C
x	C
)	C
which	WDT
you	PRP
have	VBP
reason	NN
to	TO
believe	VB
ought	JJ
to	TO
be	VB
0	CD
but	CC
which	WDT
your	PRP$
computation	NN
can	MD
not	RB
guarantee	VB
to	TO
be	VB
0	CD
.	.
to	TO
clarify	VB
a	DT
little	JJ
,	,
a	DT
computation	NN
such	JJ
as	IN
:	:
areal	JC
=	JC
0.0	CD
will	MD
(	-LRB-
unless	IN
your	PRP$
language	NN
or	CC
system	NN
is	VBZ
broken	VBN
)	-RRB-
create	VB
a	DT
value	NN
such	JJ
that	IN
(	-LRB-
areal	JC
=	JC
=	JC
0.0	JC
)	JC
returns	VBZ
true	JJ
but	CC
another	DT
computation	NN
such	JJ
as	IN
areal	C
=	C
1.386-2.1	C
*	C
(	C
0.66	C
)	C
may	MD
not	RB
.	.
if	IN
you	PRP
can	MD
assure	VB
yourself	PRP
that	IN
your	PRP$
computations	NNS
produce	VBP
values	NNS
which	WDT
are	VBP
0	CD
(	-LRB-
and	CC
not	RB
just	RB
that	IN
they	PRP
produce	VBP
values	NNS
which	WDT
ought	VBP
to	TO
be	VB
0	CD
)	-RRB-
then	RB
you	PRP
can	MD
go	VB
ahead	RB
and	CC
compare	VB
f-p	JJ
values	NNS
with	IN
0	CD
.	.
if	IN
you	PRP
ca	MD
n't	RB
assure	VB
yourself	PRP
to	TO
the	DT
required	VBN
degree	NN
,	,
best	JJS
stick	VB
to	TO
the	DT
usual	JJ
approach	NN
of	IN
'	``
toleranced	JJ
equality	NN
'	''
.	.
in	IN
the	DT
worst	JJS
cases	NNS
the	DT
careless	JJ
comparison	NN
of	IN
f-p	JJ
values	NNS
can	MD
be	VB
extremely	RB
dangerous	JJ
:	:
think	VB
avionics	NNS
,	,
weapons-guidance	NN
,	,
power-plant	JJ
operations	NNS
,	,
vehicle	NN
navigation	NN
,	,
almost	RB
any	DT
application	NN
in	IN
which	WDT
computation	NN
meets	VBZ
the	DT
real	JJ
world	NN
.	.
for	IN
angry	C
birds	NNS
,	,
not	RB
so	RB
dangerous	JJ
.	.
still	RB
getting	VBG
rep	NN
from	IN
this	DT
one	CD
,	,
so	IN
i	PRP
changed	VBD
the	DT
second	JJ
example	NN
snippet	NN
.	.
salt	NN
does	VBZ
not	RB
need	VB
to	TO
be	VB
secret.stackoverflow.com/questions/3347035/x	URI
salts	NN
are	VBP
implemented	VBN
to	TO
prevent	VB
